"cell","process_scenario","visit_key","pressure_key","profile","G","delta","rd_full","rd_full_mcse","rd_panel","rd_panel_mcse","rd_panel_oracle","rd_panel_oracle_mcse","approximation_error","approximation_error_mcse","oracle_approximation_error","oracle_approximation_error_mcse","delta_g","delta_g_mcse","truth_n","truth_batches","precision_met","population_models_valid"
19,3,"frequent","higher","negligible-smooth",4,4,-0.00105331101291134,2.40699393588839e-06,0.126054035675078,0.0033845207644505,-0.000315255837995965,0.000275479328610495,0.127107346687989,0.00338692775838639,0.000738055174915375,0.000277886322546383,-0.00029674813983302,1.93502315928851e-06,500000,2,TRUE,TRUE
19,3,"frequent","higher","negligible-smooth",4,8,-0.00105331101291134,2.40699393588839e-06,-0.255304931550752,0.000569222442955375,-0.000315255837995798,0.00027547932861044,-0.254251620537841,0.000571629436891263,0.000738055174915542,0.000277886322546328,-0.00029674813983302,1.93502315928851e-06,500000,2,TRUE,TRUE
20,4,"sparse","higher","negligible-smooth",4,1,-0.00114588933402318,9.03359278242588e-07,-0.000689892234204403,0.000116361048693669,-0.000689892234206291,0.000116361048694003,0.000455997099818778,0.000117264407971912,0.00045599709981689,0.000117264407972245,-0.00028503982541711,1.63279151343954e-06,500000,2,TRUE,TRUE
20,4,"sparse","higher","negligible-smooth",4,2,-0.00114588933402318,9.03359278242588e-07,-0.0811322108157715,0.00122201172429059,-0.00143820823889584,0.00132307860935743,-0.0799863214817483,0.00122110836501235,-0.000292318904872663,0.00132217525007919,-0.00028503982541711,1.63279151343954e-06,500000,2,TRUE,TRUE
20,4,"sparse","higher","negligible-smooth",4,4,-0.00114588933402318,9.03359278242588e-07,-0.482816175643977,0.000517423546399443,-0.000297197845462782,0.000238705258031491,-0.481670286309954,0.000518326905677685,0.000848691488560399,0.000239608617309733,-0.00028503982541711,1.63279151343954e-06,500000,2,TRUE,TRUE
20,4,"sparse","higher","negligible-smooth",4,8,-0.00114588933402318,9.03359278242588e-07,0.142084551931007,4.70372630680393e-05,-0.000297197845462727,0.000238705258031213,0.14323044126503,4.79406223462819e-05,0.000848691488560455,0.000239608617309456,-0.00028503982541711,1.63279151343954e-06,500000,2,TRUE,TRUE
21,1,"frequent","lower","off-grid",4,1,-0.0178783534066468,5.44505812333229e-06,-0.0155513160636419,0.00300737375445165,-0.0155513160636402,0.0030073737544517,0.00232703734300499,0.00300192869632831,0.0023270373430066,0.00300192869632837,-0.000333768198507611,9.32246143064974e-06,500000,2,TRUE,TRUE
21,1,"frequent","lower","off-grid",4,2,-0.0178783534066468,5.44505812333229e-06,-0.0174864040629399,0.000591318546764474,-0.0172976970538263,0.00085773291751573,0.000391949343706899,0.000585873488641142,0.000580656352820563,0.000852287859392398,-0.000333768198507611,9.32246143064974e-06,500000,2,TRUE,TRUE
21,1,"frequent","lower","off-grid",4,4,-0.0178783534066468,5.44505812333229e-06,-0.0180157212639387,7.02216307693626e-05,-0.0169618902280412,0.000413843151236604,-0.000137367857291903,6.47765726460303e-05,0.000916463178605664,0.000408398093113271,-0.000333768198507611,9.32246143064974e-06,500000,2,TRUE,TRUE
21,1,"frequent","lower","off-grid",4,8,-0.0178783534066468,5.44505812333229e-06,0.0614609615436156,0.00113056506128678,-0.0169618902280411,0.000413843151236881,0.0793393149502625,0.00112512000316345,0.00091646317860572,0.000408398093113549,-0.000333768198507611,9.32246143064974e-06,500000,2,TRUE,TRUE
