"scenario","view","restricted_method","n_paired","mean_estimated_movement","movement_mcse","delta_target","restricted_bias","broad_bias","decomposition_rhs","identity_error"
7,"reduced","role_based",0,NA,NA,-0.0193991237983684,NA,NA,NA,NA
8,"reduced","role_based",0,NA,NA,-0.0152924178594539,NA,NA,NA,NA
9,"reduced","role_based",0,NA,NA,0.0134049483222748,NA,NA,NA,NA
10,"reduced","role_based",0,NA,NA,-0.00129676670330527,NA,NA,NA,NA
11,"reduced","role_based",0,NA,NA,-0.00129041678782159,NA,NA,NA,NA
12,"reduced","role_based",0,NA,NA,0.00077426444009425,NA,NA,NA,NA
13,"reduced","role_based",0,NA,NA,-0.00449820571466338,NA,NA,NA,NA
14,"reduced","role_based",0,NA,NA,-0.00416282976317864,NA,NA,NA,NA
15,"reduced","role_based",0,NA,NA,0.00381736071349604,NA,NA,NA,NA
16,"reduced","role_based",0,NA,NA,-0.00782437574771026,NA,NA,NA,NA
17,"reduced","role_based",0,NA,NA,-0.00629112690204368,NA,NA,NA,NA
18,"reduced","role_based",0,NA,NA,0.00635542701460849,NA,NA,NA,NA
1,"reduced","all_measured",2000,-0.00208028390104986,0.000388053447277638,-0.00274001413664764,0.000559236744203336,-0.000100493491394439,-0.00208028390104986,5.20417042793042e-18
2,"reduced","all_measured",2000,-0.00372181666178777,0.000391708116665656,-0.00272790322402833,-0.000837824777803593,0.000156088659955839,-0.00372181666178777,-7.80625564189563e-18
3,"reduced","all_measured",2000,0.00222039585888592,0.000383989212044079,0.00182084775198168,0.000806303952118375,0.000406755845214136,0.00222039585888592,-8.67361737988404e-19
4,"reduced","all_measured",2000,-0.0114638878808739,0.000411714424335105,-0.0103088651293287,-0.00138621166401186,-0.000231188912466589,-0.0114638878808739,-1.73472347597681e-18
5,"reduced","all_measured",2000,-0.0218202987194638,0.000439254785258879,-0.00954647956044537,-0.0123742318644176,-0.000100412705399185,-0.0218202987194638,-3.46944695195361e-18
6,"reduced","all_measured",2000,0.016594466365824,0.000361204533166728,0.00821732133236905,0.0081292844394917,-0.000247860593963208,0.016594466365824,3.46944695195361e-18
7,"reduced","all_measured",2000,-0.0191730800455854,0.000439684797368548,-0.0193991237983684,3.12805289415796e-05,-0.000194763223841474,-0.0191730800455854,-3.46944695195361e-18
8,"reduced","all_measured",2000,-0.0511432952145749,0.000502670953993811,-0.0152924178594539,-0.035815212460577,3.56648945439367e-05,-0.0511432952145749,6.93889390390723e-18
9,"reduced","all_measured",2000,0.0303001356315525,0.000341499993531971,0.0134049483222748,0.0173065734196514,0.000411386110373772,0.0303001356315525,-3.46944695195361e-18
10,"reduced","all_measured",2000,-0.00153698809673982,0.000150741383468214,-0.00129676670330527,-0.000475110354829084,-0.000234888961394529,-0.00153698809673982,1.0842021724855e-18
11,"reduced","all_measured",2000,-0.00190151816908161,0.000149864785375436,-0.00129041678782159,-0.00108229459514726,-0.000471193213887243,-0.00190151816908161,-4.33680868994202e-18
12,"reduced","all_measured",2000,0.00128470899599165,0.000162058996019049,0.00077426444009425,0.000527943370732024,1.74988148346211e-05,0.00128470899599165,2.16840434497101e-18
13,"reduced","all_measured",2000,-0.00463338293072791,0.000147075286594734,-0.00449820571466338,-0.000346387332549776,-0.000211210116485241,-0.00463338293072791,-1.73472347597681e-18
14,"reduced","all_measured",2000,-0.0107828838411824,0.000151806996039246,-0.00416282976317864,-0.00648707565918174,0.000132978418821983,-0.0107828838411824,0
15,"reduced","all_measured",2000,0.00996588706688044,0.000174741286625088,0.00381736071349604,0.00594068250037491,-0.000207843853009496,0.00996588706688044,1.73472347597681e-18
16,"reduced","all_measured",2000,-0.00756318854884413,0.000137190095389437,-0.00782437574771026,0.000658565053751087,0.000397377854884959,-0.00756318854884413,-1.73472347597681e-18
17,"reduced","all_measured",2000,-0.0238598881459609,0.0001561657840586,-0.00629112690204368,-0.0180066411686014,-0.000437879924684137,-0.0238598881459609,-1.04083408558608e-17
18,"reduced","all_measured",2000,0.0218136570478404,0.000190920664975895,0.00635542701460849,0.0152074538091588,-0.000250776224073122,0.0218136570478404,6.93889390390723e-18
1,"reduced","oracle",2000,-0.00247177738764886,0.00045493452026142,-0.00274001413664764,0.000167743257604332,-0.000100493491394439,-0.00247177738764887,4.77048955893622e-18
2,"reduced","oracle",2000,-0.00359503772884231,0.000471557863306402,-0.00272790322402833,-0.000711045844858135,0.000156088659955839,-0.00359503772884231,0
3,"reduced","oracle",2000,0.00111782337071797,0.000440897536537914,0.00182084775198168,-0.000296268536049568,0.000406755845214136,0.00111782337071797,-2.16840434497101e-19
4,"reduced","oracle",2000,-0.0114092740432396,0.000491766605006909,-0.0103088651293287,-0.00133159782637753,-0.000231188912466589,-0.0114092740432396,-1.73472347597681e-18
5,"reduced","oracle",2000,-0.00892928744429728,0.000510755295669713,-0.00954647956044537,0.000516779410748909,-0.000100412705399185,-0.00892928744429727,-5.20417042793042e-18
6,"reduced","oracle",2000,0.00818889525927513,0.000422206763386807,0.00821732133236905,-0.000276286667057125,-0.000247860593963208,0.00818889525927513,3.46944695195361e-18
7,"reduced","oracle",2000,-0.0188846762474548,0.000538585615373777,-0.0193991237983684,0.000319684327072169,-0.000194763223841474,-0.0188846762474548,3.46944695195361e-18
8,"reduced","oracle",2000,-0.0151805368485845,0.000560181926596076,-0.0152924178594539,0.000147545905413354,3.56648945439367e-05,-0.0151805368485845,-1.73472347597681e-18
9,"reduced","oracle",2000,0.0133075597383854,0.000413339878386387,0.0134049483222748,0.000313997526484335,0.000411386110373772,0.0133075597383854,-1.73472347597681e-18
10,"reduced","oracle",2000,-0.00131124698531636,0.000232364059360122,-0.00129676670330527,-0.000249369243405628,-0.000234888961394529,-0.00131124698531637,2.60208521396521e-18
