"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
7,4000,35,"below",16,"null","fixed","fixed","c55-h60",0,0.000262722993590551,0.000182631842204398,0.00816754428050097,0.000129172511248784,0.00800834558339674,1.5521687890018e-05,-1.94916233860275,1.56230907434827,6.67444485555181e-05,2.05735428753946e-06,0.9435,0.00516273909857936,0.9435,0.00516273909857936,0.9435,0.00516273909857936,0.0565,0.00516273909857936,1,0,0,0.031196778057038,970.422309596858,842.868381089945,6.48002318618962,2000,2000
8,8000,35,"below",16,"null","fixed","fixed","c55-h60",0,-7.1783297385267e-05,9.12319831629288e-05,0.0040800183214885,6.4526887694497e-05,0.00406064933939632,8.41662008882888e-06,-0.474727821445531,1.58748662714904,1.66433790707135e-05,5.38317903756071e-07,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.9485,0.00494205169944629,0.0515,0.00494205169944629,1,0,0,0.0158645274467876,1939.95536434803,1690.41692906535,6.85940928412387,2000,2000
9,4000,70,"boundary",16,"null","fixed","fixed","c55-h60",0,0.000142655392023502,0.000253904520582169,0.0113549553563245,0.000179582509518307,0.0110884190038762,1.54437595532433e-05,-2.34731308124255,1.55038797140745,0.000128890894199423,4.03450880273518e-06,0.9415,0.0052477495176504,0.9415,0.0052477495176504,0.9435,0.00516273909857936,0.0585,0.0052477495176504,1,0,0,0.0434018443450925,971.353197608161,845.582848636552,6.46567848681818,2000,2000
10,8000,70,"boundary",16,"null","fixed","fixed","c55-h60",0,-9.66238239588872e-05,0.000123614288971145,0.00552819906259565,8.74303623065088e-05,0.00567743857788548,7.6820421198322e-06,2.69960458369882,1.63016300494834,3.0555040546602e-05,9.53168081178392e-07,0.9555,0.00461084319837489,0.9555,0.00461084319837489,0.956,0.00458606585212206,0.0445,0.00461084319837489,1,0,0,0.0221496669408091,1942.28027202407,1691.51842807572,6.89189103143912,2000,2000
11,4000,140,"above",16,"null","fixed","fixed","c55-h60",0,0.00034100523506968,0.000335996837518896,0.0150262353783441,0.000237645060960352,0.0150229152197344,1.29741189768535e-05,-0.0220957447162884,1.58354050791523,0.000225791140340922,7.09123175607899e-06,0.947,0.0050095408971282,0.947,0.0050095408971282,0.9455,0.00507591124823908,0.053,0.0050095408971282,1,0,0,0.0588196517037374,969.282508360708,843.38037325819,6.42361615736812,2000,2000
12,8000,140,"above",16,"null","fixed","fixed","c55-h60",0,-0.000120336971844376,0.000178090256657472,0.00796443840032982,0.000125960322163536,0.00784469542897341,7.28164800069807e-06,-1.50347036837467,1.56043705038645,6.34150438799246e-05,2.08635238436281e-06,0.9465,0.00503178646208283,0.9465,0.00503178646208283,0.947,0.0050095408971282,0.0535,0.00503178646208283,1,0,0,0.0307208213318556,1940.37087844178,1692.38210313916,6.86964822273422,2000,2000
13,4000,35,"below",4,"homogeneous","fixed","fixed","c55-h60",-0.00713662837240874,0.000226007824824681,0.000172049575485342,0.00769429092570411,0.000121687847291471,0.00759643526370608,1.58953165208087e-05,-1.27179571116972,1.57502740035636,5.92235913298299e-05,1.97820036971777e-06,0.944,0.00514120608417908,0.944,0.00514120608417908,0.943,0.00518415856238985,0.1395,0.00774724951192357,1,0,0,0.029572731052368,970.034500437906,845.567678777877,6.42443752583657,2000,2000
14,8000,35,"below",4,"homogeneous","fixed","fixed","c55-h60",-0.0036076425009372,0.000151317233845494,8.83923928785746e-05,0.00395302798340722,6.25184919869338e-05,0.00384954471483581,8.40393221436613e-06,-2.61782281850225,1.55473620405434,1.56415139277405e-05,4.92882646396423e-07,0.936,0.00547284204047586,0.936,0.00547284204047586,0.9385,0.00537204569973116,0.1355,0.00765309577883356,1,0,0,0.0149774616478319,1939.41791960249,1691.61235718463,6.83748976923385,2000,2000
15,4000,70,"boundary",4,"homogeneous","fixed","fixed","c55-h60",-0.0139559732032351,-0.000132581857710941,0.000233595633015749,0.0104467142934062,0.000165218365916844,0.0105683588077853,1.49791081044187e-05,1.16442846011346,1.60636229198534,0.000109096850557287,3.49682720618905e-06,0.952,0.00477995815881269,0.952,0.00477995815881269,0.952,0.00477995815881269,0.259,0.00979589199613797,1,0,0,0.0413384395909836,970.238920155027,846.75140389895,6.35738644935314,2000,2000
16,8000,70,"boundary",4,"homogeneous","fixed","fixed","c55-h60",-0.00713201253779958,-0.000231254324835143,0.000118617309985764,0.00530472736872667,8.38960808996739e-05,0.00541516008343762,7.9474450935627e-06,2.08177927035398,1.62139481142861,2.81795409530445e-05,9.04660301322024e-07,0.958,0.00448530935387962,0.958,0.00448530935387962,0.9555,0.00461084319837489,0.258,0.00978355763513457,1,0,0,0.0211562705030934,1942.82972587497,1689.2206531966,6.85292263877287,2000,2000
17,4000,140,"above",4,"homogeneous","fixed","fixed","c55-h60",-0.0267247050846117,0.000124551744780674,0.00031604649005868,0.0141340287164284,0.000223534506904626,0.0143538335718778,1.26341599718079e-05,1.55514651809037,1.60861494149383,0.000199686395510072,6.26857283930002e-06,0.954,0.00468422885862764,0.954,0.00468422885862764,0.9545,0.00465992220965114,0.4625,0.0111488508376424,1,0,0,0.0562577467377049,970.279248597019,844.769047055675,6.4055283547033,2000,2000
18,8000,140,"above",4,"homogeneous","fixed","fixed","c55-h60",-0.0139733419606986,5.22660177176287e-05,0.000166032603346732,0.00742520375129105,0.00011743214143056,0.00747262133967801,7.43029717854839e-06,0.638603194945531,1.59477662593767,5.51088156594207e-05,1.82894766056552e-06,0.955,0.00463546114210873,0.955,0.00463546114210873,0.9545,0.00465992220965114,0.4545,0.0111339514548969,1,0,0,0.0292897531180452,1940.61444625879,1690.45957981748,6.82778188144302,2000,2000
19,4000,35,"below",16,"homogeneous","fixed","fixed","c55-h60",-0.00713662837240874,-0.000103519245044582,0.000171208211991595,0.007656664006388,0.000121092764670343,0.00764511718306988,1.62764569007902e-05,-0.15080749669163,1.59339322900465,5.86059076889588e-05,1.86194956397764e-06,0.953,0.00473238840333293,0.953,0.00473238840333293,0.952,0.00477995815881269,0.139,0.00773559952427735,1,0,0,0.0297671822520873,971.602202536915,842.548800189509,6.48130638612389,2000,2000
20,8000,35,"below",16,"homogeneous","fixed","fixed","c55-h60",-0.0036076425009372,-4.08939844369268e-05,8.90175475240446e-05,0.00398098574908164,6.29606536302678e-05,0.00386073485159115,8.64475787388977e-06,-3.02063119714076,1.5490578894712,1.5841995728587e-05,4.94724002427101e-07,0.9395,0.0053310294503032,0.9395,0.0053310294503032,0.9395,0.0053310294503032,0.149,0.00796238029737339,1,0,0,0.0150260451189043,1940.72346906463,1690.09632208905,6.83636122315661,2000,2000
21,4000,70,"boundary",16,"homogeneous","fixed","fixed","c55-h60",-0.0139559732032351,6.0036715869148e-05,0.000242323792414671,0.010837049448095,0.000171391650129116,0.0105731627027385,1.51455645041435e-05,-2.43504236665546,1.5493394703834,0.000117386524327339,3.64275422002735e-06,0.941,0.00526872849936301,0.941,0.00526872849936301,0.9405,0.00528960064655168,0.252,0.00970814091368682,1,0,0,0.0413650065611224,970.179509748158,846.591995944779,6.40035852050684,2000,2000
22,8000,70,"boundary",16,"homogeneous","fixed","fixed","c55-h60",-0.00713201253779958,-4.86723283752524e-05,0.000121886750612064,0.00545094119850279,8.62085027149523e-05,0.00539376337413088,8.08065255257268e-06,-1.0489532410956,1.57195038143858,2.97002725651098e-05,9.67696830860764e-07,0.9465,0.00503178646208283,0.9465,0.00503178646208283,0.9455,0.00507591124823908,0.2535,0.00972722339622155,1,0,0,0.0210495747500304,1941.28134246569,1691.94028707859,6.84626381758368,2000,2000
