"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.008,16,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.005,10,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0185,37,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0305,61,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0175,35,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.016,32,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.003,6,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0045,9,2000
7,4000,35,16,"null","naive","prognostic_high","c45-h48",0.029,58,2000
8,8000,35,16,"null","naive","prognostic_high","c45-h48",0.0325,65,2000
9,4000,70,16,"null","naive","prognostic_high","c45-h48",0.019,38,2000
10,8000,70,16,"null","naive","prognostic_high","c45-h48",0.017,34,2000
11,4000,140,16,"null","naive","prognostic_high","c45-h48",0.006,12,2000
12,8000,140,16,"null","naive","prognostic_high","c45-h48",0.0075,15,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c45-h48",0.0345,69,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c45-h48",0.0325,65,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c45-h48",0.0215,43,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c45-h48",0.022,44,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c45-h48",0.008,16,2000
24,8000,140,16,"homogeneous","naive","prognostic_high","c45-h48",0.005,10,2000
31,4000,35,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0185,37,2000
32,8000,35,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0305,61,2000
33,4000,70,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0175,35,2000
34,8000,70,16,"heterogeneous","naive","prognostic_high","c45-h48",0.016,32,2000
35,4000,140,16,"heterogeneous","naive","prognostic_high","c45-h48",0.003,6,2000
36,8000,140,16,"heterogeneous","naive","prognostic_high","c45-h48",0.0045,9,2000
7,4000,35,16,"null","split","prognostic_high","c45-h48",0.0395,79,2000
8,8000,35,16,"null","split","prognostic_high","c45-h48",0.04,80,2000
9,4000,70,16,"null","split","prognostic_high","c45-h48",0.0305,61,2000
10,8000,70,16,"null","split","prognostic_high","c45-h48",0.027,54,2000
11,4000,140,16,"null","split","prognostic_high","c45-h48",0.021,42,2000
12,8000,140,16,"null","split","prognostic_high","c45-h48",0.0235,47,2000
19,4000,35,16,"homogeneous","split","prognostic_high","c45-h48",0.0405,81,2000
20,8000,35,16,"homogeneous","split","prognostic_high","c45-h48",0.0505,101,2000
21,4000,70,16,"homogeneous","split","prognostic_high","c45-h48",0.0345,69,2000
