"scenario","family","baseline_risk","mismatch","precision","n_trial","n_emulation","delta","delta_raw_true","truth_class","method","cutoff","wrong_definitive","wrong_definitive_mcse","correct_definitive","correct_definitive_mcse","indeterminate","indeterminate_mcse","decision_rate","decision_rate_mcse","convergence","n_used","compatibility_mean"
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.56,0.3359,0.00472327745691445,0.3896,0.00487683938183689,0.2745,0.00446284289401575,0.7255,0.00446284289401575,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.57,0.3221,0.00467304426838372,0.3551,0.00478567542452775,0.322799999999999,0.00467570339309767,0.677200000000001,0.00467570339309767,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.58,0.3058,0.00460768478478168,0.308600000000001,0.00461938717513354,0.3856,0.00486761064212593,0.6144,0.00486761064212593,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.59,0.2923,0.00454842168383522,0.2593,0.00438272424722125,0.4484,0.00497355181150925,0.5516,0.00497355181150925,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.6,0.2786,0.00448332622295128,0.1994,0.00399569275045678,0.522000000000001,0.00499540743178613,0.477999999999999,0.00499540743178613,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.61,0.266,0.00441886327410847,0.1335,0.00340131326007918,0.6005,0.00489820112259863,0.3995,0.00489820112259863,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.62,0.2525,0.00434468210876989,0.0798000000000001,0.00270996870702201,0.6677,0.00471061460841343,0.3323,0.00471061460841339,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.63,0.2401,0.00427165350916619,0.0401000000000001,0.001962035666953,0.7198,0.00449119283501728,0.2802,0.00449119283501728,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.64,0.229,0.00420210254117844,0.0181000000000001,0.00133319793791999,0.7529,0.00431346955500537,0.2471,0.00431346955500537,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.65,0.2175,0.00412566080861145,0.00700000000000002,0.000833768263339168,0.7755,0.00417273485517796,0.2245,0.00417273485517796,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.66,0.207,0.0040517578498925,0.00160000000000002,0.000399699857390046,0.7914,0.00406328131262177,0.2086,0.00406328131262177,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.67,0.1967,0.00397523474138635,0.00040000000000002,0.000199969994748901,0.8029,0.00397828375988497,0.1971,0.00397828375988497,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.68,0.1846,0.00387992131092073,0,0,0.8154,0.00387992131092073,0.1846,0.00387992131092073,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.69,0.1768,0.00381518434196265,0,0,0.8232,0.00381518434196265,0.1768,0.00381518434196265,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.7,0.1677,0.00373618346801799,0,0,0.8323,0.00373618346801799,0.1677,0.00373618346801799,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.71,0.1585,0.00365227448460439,0,0,0.8415,0.00365227448460439,0.1585,0.00365227448460439,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.72,0.1482,0.00355315894576228,0,0,0.8518,0.00355315894576228,0.1482,0.00355315894576228,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.73,0.1394,0.00346380770199222,0,0,0.8606,0.00346380770199222,0.1394,0.00346380770199222,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.74,0.1316,0.00338072284115299,0,0,0.8684,0.00338072284115299,0.1316,0.00338072284115299,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.75,0.1238,0.00329369713909522,0,0,0.8762,0.00329369713909522,0.1238,0.00329369713909522,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.76,0.1151,0.00319158544014748,0,0,0.8849,0.00319158544014748,0.1151,0.00319158544014748,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.77,0.1068,0.00308874246789933,0,0,0.8932,0.00308874246789933,0.1068,0.00308874246789933,1,10000,0.467880599008097
1,"logit","lower","aligned","small",500,5000,0.03,0,"aligned","compatibility",0.78,0.0978,0.00297058890455175,0,0,0.9022,0.00297058890455175,0.0978,0.00297058890455175,1,10000,0.467880599008097
