"scenario","family","baseline_risk","mismatch","precision","delta","truth_class","mean_se_trial","mean_se_emulation","mean_se_delta","direction_agreement","interval_overlap","forced_aligned","forced_wrong","joint_aligned","joint_mismatched","joint_indeterminate","joint_wrong"
8,"probit","common","observed_z_shift","medium",0.01,"mismatched",0.0196935376763832,0.00611537512140509,0.0206211842309462,0.999999999966787,0.324731393645746,0.00735846510772846,0.00735846510772846,0,0.781643178210269,0.218356821789731,0
8,"probit","common","observed_z_shift","medium",0.02,"mismatched",0.0196935376763832,0.00611537512140509,0.0206211842309462,0.999999999966787,0.324731393645746,0.0262789826739153,0.0262789826739153,0,0.615168498770061,0.384831501229939,0
8,"probit","common","observed_z_shift","medium",0.03,"mismatched",0.0196935376763832,0.00611537512140509,0.0206211842309462,0.999999999966787,0.324731393645746,0.0731427272398138,0.0731427272398138,0,0.423823121103369,0.576176878896631,0
8,"probit","common","observed_z_shift","medium",0.05,"mismatched",0.0196935376763832,0.00611537512140509,0.0206211842309462,0.999999999966787,0.324731393645746,0.314599269716226,0.314599269716226,0.0165673196198677,0.122617952439532,0.8608147279406,0.0165673196198677
9,"logit","lower","hidden_u_shift","medium",0.01,"mismatched",0.0142204144264023,0.00487846385833755,0.0150339481200294,0.976794934009713,0.94074232117367,0.341274879467094,0.341274879467094,0,0.0838088814655169,0.916191118534483,0
9,"logit","lower","hidden_u_shift","medium",0.02,"aligned",0.0142204144264023,0.00487846385833755,0.0150339481200294,0.976794934009713,0.94074232117367,0.644929223865404,0.355070776134596,0,0.0202786540123204,0.97972134598768,0.0202786540123204
9,"logit","lower","hidden_u_shift","medium",0.03,"aligned",0.0142204144264023,0.00487846385833755,0.0150339481200294,0.976794934009713,0.94074232117367,0.855794571797105,0.144205428202895,0.181626252923538,0.00332462243608467,0.815049124640378,0.00332462243608467
9,"logit","lower","hidden_u_shift","medium",0.05,"aligned",0.0142204144264023,0.00487846385833755,0.0150339481200294,0.976794934009713,0.94074232117367,0.991783682178159,0.00821631782184062,0.770244358237374,2.6220586677228e-05,0.229729421175949,2.6220586677228e-05
10,"probit","lower","hidden_u_shift","medium",0.01,"mismatched",0.0154286186165227,0.00519979687059606,0.016281282501989,0.998492970111778,0.851492615651377,0.184426484458823,0.184426484458823,0,0.206551789283737,0.793448210716263,0
10,"probit","lower","hidden_u_shift","medium",0.02,"mismatched",0.0154286186165227,0.00519979687059606,0.016281282501989,0.998492970111778,0.851492615651377,0.412312354190424,0.412312354190424,0,0.0759333406232744,0.924066659376726,0
10,"probit","lower","hidden_u_shift","medium",0.03,"aligned",0.0154286186165227,0.00519979687059606,0.016281282501989,0.998492970111778,0.851492615651377,0.655781584977892,0.344218415022108,0.0563173460405754,0.0203182916312287,0.923364362328196,0.0203182916312287
10,"probit","lower","hidden_u_shift","medium",0.05,"aligned",0.0154286186165227,0.00519979687059606,0.016281282501989,0.998492970111778,0.851492615651377,0.948528188927335,0.0514718110726645,0.492308752305404,0.000527129599693144,0.507164118094903,0.000527129599693144
11,"logit","common","hidden_u_shift","medium",0.01,"mismatched",0.019036898793065,0.00623805226110069,0.0200328932426053,0.999733318862845,0.891106732819799,0.188432081136938,0.188432081136938,0,0.183305995386583,0.816694004613417,0
11,"logit","common","hidden_u_shift","medium",0.02,"mismatched",0.019036898793065,0.00623805226110069,0.0200328932426053,0.999733318862845,0.891106732819799,0.391983887744073,0.391983887744073,0,0.0803057301464467,0.919694269853553,0
11,"logit","common","hidden_u_shift","medium",0.03,"aligned",0.019036898793065,0.00623805226110069,0.0200328932426053,0.999733318862845,0.891106732819799,0.598580067178834,0.401419932821166,0,0.0285559708085974,0.971444029191403,0.0285559708085974
11,"logit","common","hidden_u_shift","medium",0.05,"aligned",0.019036898793065,0.00623805226110069,0.0200328932426053,0.999733318862845,0.891106732819799,0.895356971920518,0.104643028079482,0.330440494006858,0.00186049360535545,0.667699012387786,0.00186049360535545
12,"probit","common","hidden_u_shift","medium",0.01,"mismatched",0.0197988693655245,0.00606639675159481,0.0207073995880908,0.999999998585743,0.728822924343126,0.0774347352746688,0.0774347352746688,0,0.386365705389032,0.613634294610968,0
12,"probit","common","hidden_u_shift","medium",0.02,"mismatched",0.0197988693655245,0.00606639675159481,0.0207073995880908,0.999999998585743,0.728822924343126,0.188803748757603,0.188803748757603,0,0.22011531195472,0.77988468804528,0
12,"probit","common","hidden_u_shift","medium",0.03,"mismatched",0.0197988693655245,0.00606639675159481,0.0207073995880908,0.999999998585743,0.728822924343126,0.347720036015452,0.347720036015452,0,0.104787437434819,0.895212562565181,0
12,"probit","common","hidden_u_shift","medium",0.05,"aligned",0.0197988693655245,0.00606639675159481,0.0207073995880908,0.999999998585743,0.728822924343126,0.71758786768094,0.28241213231906,0.137959596355468,0.0131898539589868,0.848850549685545,0.0131898539589868
