"scenario","mortality_key","death_effect_key","outcome_effect_key","q_key","beta_DA","gamma","beta_YA","beta_YAC","horizon","total_risk_1","total_risk_0","net_risk_1","net_risk_0","total_rd","net_rd","displacement","absolute_displacement","total_rd_mcse","net_rd_mcse","displacement_mcse","displacement_ci_low","displacement_ci_high","absolute_displacement_ci_low","absolute_displacement_ci_high","direction_class","displacement_class","truth_batches","truth_n","truth_mcse_max","truth_elapsed_sec"
16,"low","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,36,0.134496120845863,0.167770248769365,0.13759209679272,0.173674105421568,-0.0332741279235022,-0.0360820086288483,-0.00280788070534616,0.00280788070534616,1.41911433194253e-05,1.37226553767777e-05,2.57329790107132e-06,-0.00281295513698249,-0.00280280627370983,0.00280280627370983,0.00281295513698249,"concordant-direction","not-material",200,2000000,1.41911433194253e-05,11.845
16,"low","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,60,0.251883403312111,0.307009366001671,0.263049235104562,0.32760160390572,-0.0551259626895603,-0.064552368801158,-0.00942640611159772,0.00942640611159772,2.85649434428054e-05,2.60682798658517e-05,6.91340358755207e-06,-0.00944003904304525,-0.0094127731801502,0.0094127731801502,0.00944003904304525,"concordant-direction","not-material",200,2000000,2.85649434428054e-05,11.845
17,"moderate","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,12,0.0348252260044415,0.0438877237856662,0.0355658808023546,0.0453240698776696,-0.0090624977812247,-0.00975818907531505,-0.000695691294090342,0.000695691294090342,3.64459577974899e-06,3.60562702113323e-06,7.3308019418808e-07,-0.000697136896376733,-0.000694245691803952,0.000694245691803952,0.000697136896376733,"concordant-direction","not-material",200,2000000,3.64459577974899e-06,12.017
17,"moderate","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,36,0.12689080226197,0.153935884744118,0.13759209679272,0.173674105421568,-0.0270450824821481,-0.0360820086288483,-0.00903692614670024,0.00903692614670024,1.59819401393872e-05,1.37226553767777e-05,7.09550610276592e-06,-0.00905091817639437,-0.00902293411700611,0.00902293411700611,0.00905091817639437,"concordant-direction","not-material",200,2000000,1.59819401393872e-05,12.017
17,"moderate","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,60,0.226143124521482,0.26313492376648,0.263049235104562,0.32760160390572,-0.0369917992449975,-0.064552368801158,-0.0275605695561605,0.0275605695561605,3.34861276839299e-05,2.60682798658517e-05,1.60794796568091e-05,-0.0275922775912979,-0.0275288615210231,0.0275288615210231,0.0275922775912979,"concordant-direction","material",200,2000000,3.34861276839299e-05,12.017
18,"high","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,12,0.0339645059114303,0.0422652040593303,0.0355658808023546,0.0453240698776696,-0.00830069814789994,-0.00975818907531505,-0.00145749092741511,0.00145749092741511,3.80968698281542e-06,3.60562702113323e-06,1.42365780720461e-06,-0.0014602983187448,-0.00145468353608542,0.00145468353608542,0.0014602983187448,"concordant-direction","not-material",200,2000000,3.80968698281542e-06,10.248
18,"high","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,36,0.115520393151781,0.134789423366207,0.13759209679272,0.173674105421568,-0.0192690302144267,-0.0360820086288483,-0.0168129784144217,0.0168129784144217,1.80271843551952e-05,1.37226553767777e-05,1.08717716816533e-05,-0.0168344170757369,-0.0167915397531064,0.0167915397531064,0.0168344170757369,"concordant-direction","material",200,2000000,1.80271843551952e-05,10.248
18,"high","protective","heterogeneous_protective","none",-0.510826,0,-0.510826,0.405465,60,0.192229570760101,0.211449350771267,0.263049235104562,0.32760160390572,-0.0192197800111656,-0.064552368801158,-0.0453325887899924,0.0453325887899924,3.50580790616852e-05,2.60682798658517e-05,2.04401660945517e-05,-0.0453728959092881,-0.0452922816706967,0.0452922816706967,0.0453728959092881,"concordant-direction","material",200,2000000,3.50580790616852e-05,10.248
19,"low","harmful","null","strong",0.510826,0.693147,0,0,12,0.0544850206141732,0.0550833242361329,0.056021930761027,0.056021930761027,-0.000598303621959726,0,0.000598303621959726,0.000598303621959726,1.35716449247059e-06,0,1.35716449247059e-06,0.000595627352557172,0.000600979891362279,0.000595627352557172,0.000600979891362279,"joint-null","not-material",200,2000000,1.35716449247059e-06,8.75099999999998
19,"low","harmful","null","strong",0.510826,0.693147,0,0,36,0.183806843488212,0.189946876764396,0.200318589798756,0.200318589798756,-0.0061400332761847,0,0.0061400332761847,0.0061400332761847,8.27211227562661e-06,0,8.27211227562661e-06,0.006123721030248,0.00615634552212141,0.006123721030248,0.00615634552212141,"zero-versus-nonzero","not-material",200,2000000,8.27211227562661e-06,8.75099999999998
19,"low","harmful","null","strong",0.510826,0.693147,0,0,60,0.308658178014003,0.324959692767107,0.354033610821042,0.354033610821042,-0.0163015147531044,0,0.0163015147531044,0.0163015147531044,1.53917936964963e-05,0,1.53917936964963e-05,0.0162711628047968,0.0163318667014119,0.0162711628047968,0.0163318667014119,"zero-versus-nonzero","material",200,2000000,1.53917936964963e-05,8.75099999999998
20,"moderate","harmful","null","strong",0.510826,0.693147,0,0,12,0.0510273273201513,0.0528580088805227,0.056021930761027,0.056021930761027,-0.00183068156037139,0,0.00183068156037139,0.00183068156037139,3.35066291794147e-06,0,3.35066291794147e-06,0.00182407419870277,0.00183728892204001,0.00182407419870277,0.00183728892204001,"zero-versus-nonzero","not-material",200,2000000,3.35066291794147e-06,12.248
20,"moderate","harmful","null","strong",0.510826,0.693147,0,0,36,0.152860022343231,0.168062853369199,0.200318589798756,0.200318589798756,-0.0152028310259679,0,0.0152028310259679,0.0152028310259679,1.50841578734732e-05,0,1.50841578734732e-05,0.0151730857221347,0.015232576329801,0.0151730857221347,0.015232576329801,"zero-versus-nonzero","material",200,2000000,1.50841578734732e-05,12.248
20,"moderate","harmful","null","strong",0.510826,0.693147,0,0,60,0.234144589444955,0.268997194418682,0.354033610821042,0.354033610821042,-0.0348526049737273,0,0.0348526049737273,0.0348526049737273,2.38619442739852e-05,0,2.38619442739852e-05,0.0348055502565577,0.034899659690897,0.0348055502565577,0.034899659690897,"zero-versus-nonzero","material",200,2000000,2.38619442739852e-05,12.248
21,"high","harmful","null","strong",0.510826,0.693147,0,0,12,0.0463785430094264,0.0496339985919756,0.056021930761027,0.056021930761027,-0.00325545558254915,0,0.00325545558254915,0.00325545558254915,4.73994157528846e-06,0,4.73994157528846e-06,0.00324610862374039,0.00326480254135791,0.00324610862374039,0.00326480254135791,"zero-versus-nonzero","not-material",200,2000000,4.73994157528846e-06,12.113
21,"high","harmful","null","strong",0.510826,0.693147,0,0,36,0.120348930655652,0.141564285267668,0.200318589798756,0.200318589798756,-0.0212153546120157,0,0.0212153546120157,0.0212153546120157,1.5937081660058e-05,0,1.5937081660058e-05,0.0211839273795399,0.0212467818444915,0.0211839273795399,0.0212467818444915,"zero-versus-nonzero","material",200,2000000,1.5937081660058e-05,12.113
21,"high","harmful","null","strong",0.510826,0.693147,0,0,60,0.1679971714697,0.209910650876128,0.354033610821042,0.354033610821042,-0.0419134794064281,0,0.0419134794064281,0.0419134794064281,2.14057377983101e-05,0,2.14057377983101e-05,0.0418712682216922,0.041955690591164,0.0418712682216922,0.041955690591164,"zero-versus-nonzero","material",200,2000000,2.14057377983101e-05,12.113
22,"low","neutral","null","strong",0,0.693147,0,0,12,0.0550833242361329,0.0550833242361329,0.056021930761027,0.056021930761027,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,11.412
22,"low","neutral","null","strong",0,0.693147,0,0,36,0.189946876764396,0.189946876764396,0.200318589798756,0.200318589798756,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,11.412
22,"low","neutral","null","strong",0,0.693147,0,0,60,0.324959692767107,0.324959692767107,0.354033610821042,0.354033610821042,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,11.412
23,"moderate","neutral","null","strong",0,0.693147,0,0,12,0.0528580088805227,0.0528580088805227,0.056021930761027,0.056021930761027,0,0,0,0,0,0,0,0,0,0,0,"joint-null","not-material",200,2000000,0,11.712
