"formal_scenario","pair_id","method","own_target","psi","mapped_equal","exact_change","functional_discrepancy"
8,2,"equalq",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00083624990812689
8,2,"aggregate-gate",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00083624990812689
8,2,"validation-50",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00083624990812689
8,2,"validation-100",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00083624990812689
8,2,"validation-200",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,0.00083624990812689
8,2,"site-exclusion-200",NA,-0.0735630784463202,-0.0727268285381933,0.00083624990812689,NA
8,3,"historical-fixed",-0.0724276478936747,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00113543055264551
8,3,"historical-dl",-0.0724276478936747,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00113543055264551
8,3,"historical-q-gate",-0.0724276478936747,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.00113543055264551
8,3,"commonq-fixed",-0.0729907836251119,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000572294821208227
8,3,"pm-hk",-0.0729907836251119,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000572294821208227
8,3,"equalq",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,3,"aggregate-gate",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,3,"validation-50",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,3,"validation-100",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,3,"validation-200",-0.0727268285381933,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,0.000836249908126876
8,3,"site-exclusion-200",NA,-0.0735630784463202,-0.0727268285381933,0.000836249908126876,NA
9,1,"historical-fixed",-0.074608173308376,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00104509486205583
9,1,"historical-dl",-0.074608173308376,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00104509486205583
9,1,"historical-q-gate",-0.074608173308376,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00104509486205583
9,1,"commonq-fixed",-0.0746078302591654,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.0010447518128452
9,1,"pm-hk",-0.0746078302591654,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.0010447518128452
9,1,"equalq",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,1,"aggregate-gate",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,1,"validation-50",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,1,"validation-100",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,1,"validation-200",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,1,"site-exclusion-200",NA,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,NA
9,2,"historical-fixed",-0.0746450697411135,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00108199129479329
9,2,"historical-dl",-0.0746450697411135,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00108199129479329
9,2,"historical-q-gate",-0.0746450697411135,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00108199129479329
9,2,"commonq-fixed",-0.0747035540833178,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00114047563699768
9,2,"pm-hk",-0.0747035540833178,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00114047563699768
9,2,"equalq",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,2,"aggregate-gate",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
9,2,"validation-50",-0.0746917428052325,-0.0735630784463202,-0.0746917428052325,-0.00112866435891233,-0.00112866435891233
