"formal_scenario","pair_id","site","theta_local","v_local","theta_q","v_q","intended_theta_q"
15,1,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
15,1,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
15,1,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
15,1,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
15,1,6,-0.0995524047812897,0.000342025241875529,-0.0938981430461144,0.000329562083052759,-0.0871261568926403
15,2,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
15,2,2,-0.0907847152311188,0.000273031400289301,-0.0938981430461143,0.000300283700839386,-0.0871261568926403
15,2,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
15,2,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
15,2,5,-0.0971424440700125,0.000313564553102019,-0.0938981430461144,0.000301547991551859,-0.0871261568926403
15,2,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
15,3,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
15,3,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
15,3,3,-0.0927365540735272,0.00028006566450331,-0.0938981430461143,0.000287806471884265,-0.0871261568926403
15,3,4,-0.0948617607461671,0.000293288738830105,-0.0938981430461144,0.000288192965338306,-0.0871261568926403
15,3,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
15,3,6,-0.0902773083454988,0.000337588613325735,-0.0871261568926403,0.000327314136321057,-0.0871261568926403
16,1,1,-0.0543314826152763,0.000257503057014797,-0.0571261568926403,0.00030269309569328,-0.0871261568926404
16,1,2,-0.0853757170733386,0.000271540700562043,-0.0871261568926403,0.00029771021079564,-0.0871261568926403
16,1,3,-0.0865018918648423,0.000278042919371287,-0.0871261568926403,0.000285443098117511,-0.0871261568926403
16,1,4,-0.0877022921724986,0.000290618469932025,-0.0871261568926403,0.000285949853552199,-0.0871261568926403
16,1,5,-0.0889655959605705,0.00031010101313496,-0.0871261568926403,0.000299343095236011,-0.0871261568926403
16,1,6,-0.0602773083454988,0.000318102336842079,-0.0571261568926403,0.000310862803935148,-0.0871261568926403
16,2,1,-0.0843314826152763,0.00027050757339862,-0.0871261568926404,0.00032418437707444,-0.0871261568926404
