"scenario","n","event_target","K","effect","candidate","coverage","coverage_mcse","failure_probability","failure_mcse","truth_mcse","truth_draws","n_attempted","pass"
20,8000,35,16,"homogeneous","c55-h24",0.9465,0.00503178646208283,0,0,7.54658138166025e-07,2000000,2000,TRUE
21,4000,70,16,"homogeneous","c55-h24",0.9475,0.00498717104178311,0,0,3.12604478655162e-06,2000000,2000,TRUE
22,8000,70,16,"homogeneous","c55-h24",0.936,0.00547284204047586,0,0,1.45707977605213e-06,2000000,2000,TRUE
23,4000,140,16,"homogeneous","c55-h24",0.9415,0.0052477495176504,0,0,5.25784844646497e-06,2000000,2000,TRUE
24,8000,140,16,"homogeneous","c55-h24",0.9475,0.00498717104178311,0,0,2.9058525675793e-06,2000000,2000,TRUE
31,4000,35,16,"heterogeneous","c55-h24",0.949,0.00491929873051028,0,0,1.61559865962092e-06,2000000,2000,TRUE
32,8000,35,16,"heterogeneous","c55-h24",0.94,0.0053103672189407,0,0,7.97799042654971e-07,2000000,2000,TRUE
33,4000,70,16,"heterogeneous","c55-h24",0.9515,0.00480352734977121,0,0,3.09062673076995e-06,2000000,2000,TRUE
34,8000,70,16,"heterogeneous","c55-h24",0.94,0.0053103672189407,0,0,1.55649979478695e-06,2000000,2000,TRUE
35,4000,140,16,"heterogeneous","c55-h24",0.9505,0.0048502448391808,0,0,6.11879762335897e-06,2000000,2000,TRUE
36,8000,140,16,"heterogeneous","c55-h24",0.948,0.00496467521596328,0,0,3.26188746200225e-06,2000000,2000,TRUE
1,4000,35,4,"null","c55-h36",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
2,8000,35,4,"null","c55-h36",0.9435,0.00516273909857936,0,0,0,2000000,2000,TRUE
3,4000,70,4,"null","c55-h36",0.9475,0.00498717104178311,0,0,0,2000000,2000,TRUE
4,8000,70,4,"null","c55-h36",0.9485,0.00494205169944629,0,0,0,2000000,2000,TRUE
5,4000,140,4,"null","c55-h36",0.9465,0.00503178646208283,0,0,0,2000000,2000,TRUE
6,8000,140,4,"null","c55-h36",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
7,4000,35,16,"null","c55-h36",0.9485,0.00494205169944629,0,0,0,2000000,2000,TRUE
8,8000,35,16,"null","c55-h36",0.9475,0.00498717104178311,0,0,0,2000000,2000,TRUE
9,4000,70,16,"null","c55-h36",0.948,0.00496467521596328,0,0,0,2000000,2000,TRUE
10,8000,70,16,"null","c55-h36",0.951,0.00482695556225661,0,0,0,2000000,2000,TRUE
11,4000,140,16,"null","c55-h36",0.9515,0.00480352734977121,0,0,0,2000000,2000,TRUE
12,8000,140,16,"null","c55-h36",0.9565,0.00456112650559048,0,0,0,2000000,2000,TRUE
13,4000,35,4,"homogeneous","c55-h36",0.953,0.00473238840333293,0,0,1.956783265866e-06,2000000,2000,TRUE
14,8000,35,4,"homogeneous","c55-h36",0.951,0.00482695556225661,0,0,1.12448673981116e-06,2000000,2000,TRUE
15,4000,70,4,"homogeneous","c55-h36",0.947,0.0050095408971282,0,0,4.56330838670709e-06,2000000,2000,TRUE
16,8000,70,4,"homogeneous","c55-h36",0.9535,0.00470838348055891,0,0,2.15485540298045e-06,2000000,2000,TRUE
17,4000,140,4,"homogeneous","c55-h36",0.9435,0.00516273909857936,0,0,7.4486423478385e-06,2000000,2000,TRUE
