"scenario","n","event_target","event_regime","K","effect","method","selector","candidate","mean_truth","bias","bias_mcse","empse","empse_mcse","modse","modse_mcse","relerror_modse","relerror_modse_mcse","mse","mse_mcse","coverage","coverage_mcse","coverage_conditional","coverage_conditional_mcse","bias_eliminated_coverage","bias_eliminated_coverage_mcse","rejection","rejection_mcse","convergence","convergence_mcse","failure_probability","median_width","median_ess1","median_ess0","median_max_weight","n_used","n_attempted"
31,4000,35,"below",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00176904519448594,-0.00420481853973075,0.000126879593151392,0.00567422790488059,8.97398584812318e-05,0.0060735879285397,6.03142306773743e-05,7.03813858649578,1.99889651684849,4.98612628374308e-05,2.13089341186308e-06,0.995,0.00157718102955875,0.995,0.00157718102955875,0.998,0.000998999499499375,0.009,0.00211175282644537,1,0,0,0.0301460264462446,1299.41335793443,1607.40795128202,7.13752824388362,2000,2000
32,8000,35,"below",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.000892513997127303,-0.00231925324384287,6.41643989184271e-05,0.00286951915434034,4.5382428611687e-05,0.00303062335566743,2.93646646651901e-05,5.6143274417042,1.95887642414319,1.36089587161132e-05,5.58231719201894e-07,0.998,0.000998999499499375,0.998,0.000998999499499375,0.9955,0.00149662119455792,0.015,0.00271799558498538,1,0,0,0.0152202666162648,2640.88266624408,3253.66693087084,7.58069964249146,2000,2000
33,4000,70,"boundary",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00402451012226479,-0.00543900915511303,0.000170608004703458,0.00762982192045071,0.000120668247884318,0.00787728784475092,6.79561188133453e-05,3.24340367154452,1.85995067180713,8.77678960359246e-05,3.97675259237793e-06,0.9955,0.00149662119455792,0.9955,0.00149662119455792,0.9975,0.00111663557170635,0.034,0.00405240669232494,1,0,0,0.0419816626746942,1326.08303002463,1633.24319400892,7.26139027968974,2000,2000
34,8000,70,"boundary",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.0019477858190463,-0.00283901330334486,9.19853687800138e-05,0.00411371075054996,6.50597450041696e-05,0.00407229314147582,3.91937057948261e-05,-1.00681869936046,1.83272631530675,2.49741513676898e-05,1.16004041346957e-06,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.9965,0.00132055859392909,0.0245,0.00345685912353975,1,0,0,0.021152664273583,2670.32286352541,3291.08967488657,7.69148490887219,2000,2000
35,4000,140,"above",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00887230429197506,-0.00643107069728269,0.000223512360531075,0.0099957766391785,0.000158086632410081,0.0102333678328678,7.3957487236113e-05,2.37691579419683,1.78016917798184,0.000141224263158484,5.54227987973003e-06,0.993,0.00186426929385215,0.993,0.00186426929385215,0.999,0.000706753139363385,0.0685,0.00564835152942874,1,0,0,0.0573417553574839,1336.84245888044,1648.89057713449,7.38439026286425,2000,2000
36,8000,140,"above",16,"heterogeneous","bonferroni","effect_seeking",NA,-0.00444575396233309,-0.00312214856438772,0.000110226561159595,0.00492948167357783,7.79614416601424e-05,0.00520226261600655,3.61579542825961e-05,5.53366379047173,1.82311815323212,3.40354513334629e-05,1.25378488401566e-06,0.997,0.00122290637417588,0.997,0.00122290637417588,0.999,0.000706753139363385,0.055,0.00509779364038993,1,0,0,0.0293952713044882,2690.93427673828,3313.95961197426,7.85923545320708,2000,2000
1,4000,35,"below",4,"null","bonferroni","outcome_blinded",NA,0,-4.00039112170642e-05,0.000148022319024944,0.00661975935053871,0.00010469376226256,0.00677051941474294,2.05730158127078e-05,2.27742514827158,1.6471373862822,4.38009035650279e-05,1.38524150589053e-06,0.9895,0.00227922684259377,0.9895,0.00227922684259377,0.9895,0.00227922684259377,0.0105,0.00227922684259378,1,0,0,0.0325487976065648,1207.57012132986,1272.046977119,6.67948825814818,2000,2000
2,8000,35,"below",4,"null","bonferroni","outcome_blinded",NA,0,-2.37617676177109e-05,7.85311920086817e-05,0.00351202167371001,5.55438260967044e-05,0.00339733254401992,1.07025978197691e-05,-3.26561565803031,1.55994330560348,1.23286937100909e-05,4.04172428954242e-07,0.984,0.00280570846668003,0.984,0.00280570846668003,0.984,0.00280570846668003,0.016,0.00280570846668003,1,0,0,0.016307939749571,2426.55797434871,2556.55598515341,7.03855015834734,2000,2000
3,4000,70,"boundary",4,"null","bonferroni","outcome_blinded",NA,0,-0.000667655099197831,0.000215795516914252,0.00965066890119945,0.000152628635289384,0.00934988870507711,2.55023237005454e-05,-3.11667718788852,1.55486297387108,9.35346058669428e-05,3.09304332666184e-06,0.9855,0.00267298989897081,0.9855,0.00267298989897081,0.9845,0.00276222283677476,0.0145,0.00267298989897081,1,0,0,0.0446934361913736,1209.74663938904,1271.72746869501,6.6971978503439,2000,2000
4,8000,70,"boundary",4,"null","bonferroni","outcome_blinded",NA,0,-8.38508706526833e-05,0.00010873350719934,0.00486271027059372,7.6905429044006e-05,0.00478493300939124,1.3333296971606e-05,-1.59946319797869,1.58020888437247,2.3641159168659e-05,7.27229376868045e-07,0.989,0.00233227356885937,0.989,0.00233227356885937,0.988,0.00243474844696531,0.011,0.00233227356885937,1,0,0,0.0227962727586362,2425.26564184471,2556.30438413153,7.07434276542826,2000,2000
