"scenario","n","event_target","K","effect","method","selector","candidate","frequency","count","denominator"
31,4000,35,16,"heterogeneous","split","prognostic_low","c45-h36",0.0315,63,2000
32,8000,35,16,"heterogeneous","split","prognostic_low","c45-h36",0.0225,45,2000
33,4000,70,16,"heterogeneous","split","prognostic_low","c45-h36",0.0175,35,2000
34,8000,70,16,"heterogeneous","split","prognostic_low","c45-h36",0.014,28,2000
35,4000,140,16,"heterogeneous","split","prognostic_low","c45-h36",0.007,14,2000
36,8000,140,16,"heterogeneous","split","prognostic_low","c45-h36",0.011,22,2000
7,4000,35,16,"null","bonferroni","effect_seeking","c45-h48",0.0565,113,2000
8,8000,35,16,"null","bonferroni","effect_seeking","c45-h48",0.0605,121,2000
9,4000,70,16,"null","bonferroni","effect_seeking","c45-h48",0.06,120,2000
10,8000,70,16,"null","bonferroni","effect_seeking","c45-h48",0.0545,109,2000
11,4000,140,16,"null","bonferroni","effect_seeking","c45-h48",0.0515,103,2000
12,8000,140,16,"null","bonferroni","effect_seeking","c45-h48",0.052,104,2000
19,4000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.0835,167,2000
20,8000,35,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.085,170,2000
21,4000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.1,200,2000
22,8000,70,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.0905,181,2000
23,4000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.102,204,2000
24,8000,140,16,"homogeneous","bonferroni","effect_seeking","c45-h48",0.1055,211,2000
31,4000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.114,228,2000
32,8000,35,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.109,218,2000
33,4000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.122,244,2000
34,8000,70,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1215,243,2000
35,4000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1455,291,2000
36,8000,140,16,"heterogeneous","bonferroni","effect_seeking","c45-h48",0.1605,321,2000
7,4000,35,16,"null","naive","effect_seeking","c45-h48",0.0565,113,2000
8,8000,35,16,"null","naive","effect_seeking","c45-h48",0.0605,121,2000
9,4000,70,16,"null","naive","effect_seeking","c45-h48",0.06,120,2000
10,8000,70,16,"null","naive","effect_seeking","c45-h48",0.0545,109,2000
11,4000,140,16,"null","naive","effect_seeking","c45-h48",0.0515,103,2000
12,8000,140,16,"null","naive","effect_seeking","c45-h48",0.052,104,2000
19,4000,35,16,"homogeneous","naive","effect_seeking","c45-h48",0.0835,167,2000
20,8000,35,16,"homogeneous","naive","effect_seeking","c45-h48",0.085,170,2000
21,4000,70,16,"homogeneous","naive","effect_seeking","c45-h48",0.1,200,2000
22,8000,70,16,"homogeneous","naive","effect_seeking","c45-h48",0.0905,181,2000
23,4000,140,16,"homogeneous","naive","effect_seeking","c45-h48",0.102,204,2000
24,8000,140,16,"homogeneous","naive","effect_seeking","c45-h48",0.1055,211,2000
31,4000,35,16,"heterogeneous","naive","effect_seeking","c45-h48",0.114,228,2000
32,8000,35,16,"heterogeneous","naive","effect_seeking","c45-h48",0.109,218,2000
33,4000,70,16,"heterogeneous","naive","effect_seeking","c45-h48",0.122,244,2000
34,8000,70,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1215,243,2000
35,4000,140,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1455,291,2000
36,8000,140,16,"heterogeneous","naive","effect_seeking","c45-h48",0.1605,321,2000
7,4000,35,16,"null","bonferroni","prognostic_high","c45-h48",0.0275,55,2000
8,8000,35,16,"null","bonferroni","prognostic_high","c45-h48",0.034,68,2000
9,4000,70,16,"null","bonferroni","prognostic_high","c45-h48",0.0135,27,2000
10,8000,70,16,"null","bonferroni","prognostic_high","c45-h48",0.02,40,2000
11,4000,140,16,"null","bonferroni","prognostic_high","c45-h48",0.004,8,2000
12,8000,140,16,"null","bonferroni","prognostic_high","c45-h48",0.0035,7,2000
19,4000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0395,79,2000
20,8000,35,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.033,66,2000
21,4000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.028,56,2000
22,8000,70,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0245,49,2000
23,4000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.0115,23,2000
24,8000,140,16,"homogeneous","bonferroni","prognostic_high","c45-h48",0.007,14,2000
31,4000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.029,58,2000
32,8000,35,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0315,63,2000
33,4000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.011,22,2000
34,8000,70,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0145,29,2000
35,4000,140,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.005,10,2000
36,8000,140,16,"heterogeneous","bonferroni","prognostic_high","c45-h48",0.0015,3,2000
7,4000,35,16,"null","naive","prognostic_high","c45-h48",0.0275,55,2000
8,8000,35,16,"null","naive","prognostic_high","c45-h48",0.034,68,2000
9,4000,70,16,"null","naive","prognostic_high","c45-h48",0.0135,27,2000
10,8000,70,16,"null","naive","prognostic_high","c45-h48",0.02,40,2000
11,4000,140,16,"null","naive","prognostic_high","c45-h48",0.004,8,2000
12,8000,140,16,"null","naive","prognostic_high","c45-h48",0.0035,7,2000
19,4000,35,16,"homogeneous","naive","prognostic_high","c45-h48",0.0395,79,2000
20,8000,35,16,"homogeneous","naive","prognostic_high","c45-h48",0.033,66,2000
21,4000,70,16,"homogeneous","naive","prognostic_high","c45-h48",0.028,56,2000
22,8000,70,16,"homogeneous","naive","prognostic_high","c45-h48",0.0245,49,2000
23,4000,140,16,"homogeneous","naive","prognostic_high","c45-h48",0.0115,23,2000
