"truth_scenario","n","event_target","effect","candidate","c","h","score_key","lambda","expected_eligible","expected_treated","expected_control","expected_events","distance_from_70","population_r2","diagnostic_draws","scenario","K","analysis_scenario"
8,8000,35,"homogeneous","c55-h36",55,36,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,29.8024985651827,-40.1975014348173,0.000659328166917023,2000000,20,16,40
8,8000,35,"homogeneous","c55-h48",55,48,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,39.6750760284438,-30.3249239715562,0.000877175783885169,2000000,20,16,40
8,8000,35,"homogeneous","c55-h60",55,60,"reduced",0.000153775122859788,NA,2115.24389527785,1885.29610472216,49.5170531331966,-20.4829468668034,0.00109406529709064,2000000,20,16,40
8,8000,35,"homogeneous","c60-h24",60,24,"reduced",0.000153775122859788,NA,1383.51003334128,1015.68996665876,13.7023452008213,-56.2976547991787,0.000356979574604828,2000000,20,16,40
8,8000,35,"homogeneous","c60-h36",60,36,"reduced",0.000153775122859788,NA,1383.51003334128,1015.68996665876,20.5179100306058,-49.4820899693942,0.00053423300466497,2000000,20,16,40
8,8000,35,"homogeneous","c60-h48",60,48,"reduced",0.000153775122859788,NA,1383.51003334128,1015.68996665876,27.3098664773118,-42.6901335226882,0.000710666415249928,2000000,20,16,40
8,8000,35,"homogeneous","c60-h60",60,60,"reduced",0.000153775122859788,NA,1383.51003334128,1015.68996665876,34.078311556651,-35.921688443349,0.000886282955751825,2000000,20,16,40
9,4000,70,"homogeneous","c45-h24",45,24,"higher",0.000625616841839842,NA,1565.69749885881,1865.86650114116,56.2711908233012,-13.7288091766988,0.00446781094780982,2000000,21,16,41
9,4000,70,"homogeneous","c45-h36",45,36,"higher",0.000625616841839842,NA,1565.69749885881,1865.86650114116,83.9479276005876,13.9479276005876,0.00665257490985103,2000000,21,16,41
9,4000,70,"homogeneous","c45-h48",45,48,"higher",0.000625616841839842,NA,1565.69749885881,1865.86650114116,111.324443067984,41.3244430679844,0.0088051582740798,2000000,21,16,41
9,4000,70,"homogeneous","c45-h60",45,60,"higher",0.000625616841839842,NA,1565.69749885881,1865.86650114116,138.404909260785,68.4049092607845,0.0109259887243029,2000000,21,16,41
9,4000,70,"homogeneous","c50-h24",50,24,"higher",0.000625616841839842,NA,1366.00203752654,1435.84196247347,50.0574801038643,-19.9425198961357,0.00427151257620103,2000000,21,16,41
9,4000,70,"homogeneous","c50-h36",50,36,"higher",0.000625616841839842,NA,1366.00203752654,1435.84196247347,74.6548762749179,4.65487627491792,0.00635888383141125,2000000,21,16,41
9,4000,70,"homogeneous","c50-h48",50,48,"higher",0.000625616841839842,NA,1366.00203752654,1435.84196247347,98.9702232659757,28.9702232659757,0.00841457061157467,2000000,21,16,41
9,4000,70,"homogeneous","c50-h60",50,60,"higher",0.000625616841839842,NA,1366.00203752654,1435.84196247347,123.007566134458,53.0075661344576,0.0104389946595651,2000000,21,16,41
9,4000,70,"homogeneous","c55-h24",55,24,"higher",0.000625616841839842,NA,1057.62194763893,942.64805236108,40.0959359644954,-29.9040640355046,0.00412392236378951,2000000,21,16,41
9,4000,70,"homogeneous","c55-h36",55,36,"higher",0.000625616841839842,NA,1057.62194763893,942.64805236108,59.7679911582108,-10.2320088417892,0.0061379082733933,2000000,21,16,41
9,4000,70,"homogeneous","c55-h48",55,48,"higher",0.000625616841839842,NA,1057.62194763893,942.64805236108,79.1945212737133,9.19452127371332,0.00812046871792482,2000000,21,16,41
9,4000,70,"homogeneous","c55-h60",55,60,"higher",0.000625616841839842,NA,1057.62194763893,942.64805236108,98.3792529472565,28.3792529472565,0.0100720153390815,2000000,21,16,41
9,4000,70,"homogeneous","c60-h24",60,24,"higher",0.000625616841839842,NA,691.75501667064,507.844983329379,27.5789660873568,-42.4210339126432,0.00405892854880514,2000000,21,16,41
9,4000,70,"homogeneous","c60-h36",60,36,"higher",0.000625616841839842,NA,691.75501667064,507.844983329379,41.0798838695387,-28.9201161304613,0.00603961146182461,2000000,21,16,41
9,4000,70,"homogeneous","c60-h48",60,48,"higher",0.000625616841839842,NA,691.75501667064,507.844983329379,54.3926645045889,-15.6073354954111,0.00798832535038359,2000000,21,16,41
9,4000,70,"homogeneous","c60-h60",60,60,"higher",0.000625616841839842,NA,691.75501667064,507.844983329379,67.5204116365027,-2.47958836349726,0.00990547790734149,2000000,21,16,41
9,4000,70,"homogeneous","c45-h24",45,24,"reduced",0.000625616841839842,NA,1565.69749885881,1865.86650114116,56.2711908233012,-13.7288091766988,0.00247061426737773,2000000,21,16,42
9,4000,70,"homogeneous","c45-h36",45,36,"reduced",0.000625616841839842,NA,1565.69749885881,1865.86650114116,83.9479276005876,13.9479276005876,0.00367685774500691,2000000,21,16,42
9,4000,70,"homogeneous","c45-h48",45,48,"reduced",0.000625616841839842,NA,1565.69749885881,1865.86650114116,111.324443067984,41.3244430679844,0.0048640960786537,2000000,21,16,42
9,4000,70,"homogeneous","c45-h60",45,60,"reduced",0.000625616841839842,NA,1565.69749885881,1865.86650114116,138.404909260785,68.4049092607845,0.0060326020452504,2000000,21,16,42
9,4000,70,"homogeneous","c50-h24",50,24,"reduced",0.000625616841839842,NA,1366.00203752654,1435.84196247347,50.0574801038643,-19.9425198961357,0.00212768305756418,2000000,21,16,42
9,4000,70,"homogeneous","c50-h36",50,36,"reduced",0.000625616841839842,NA,1366.00203752654,1435.84196247347,74.6548762749179,4.65487627491792,0.00316479762356826,2000000,21,16,42
9,4000,70,"homogeneous","c50-h48",50,48,"reduced",0.000625616841839842,NA,1366.00203752654,1435.84196247347,98.9702232659757,28.9702232659757,0.00418444962473295,2000000,21,16,42
9,4000,70,"homogeneous","c50-h60",50,60,"reduced",0.000625616841839842,NA,1366.00203752654,1435.84196247347,123.007566134458,53.0075661344576,0.00518690050650232,2000000,21,16,42
9,4000,70,"homogeneous","c55-h24",55,24,"reduced",0.000625616841839842,NA,1057.62194763893,942.64805236108,40.0959359644954,-29.9040640355046,0.00176822325731014,2000000,21,16,42
9,4000,70,"homogeneous","c55-h36",55,36,"reduced",0.000625616841839842,NA,1057.62194763893,942.64805236108,59.7679911582108,-10.2320088417892,0.00262879733923112,2000000,21,16,42
9,4000,70,"homogeneous","c55-h48",55,48,"reduced",0.000625616841839842,NA,1057.62194763893,942.64805236108,79.1945212737133,9.19452127371332,0.00347400152886185,2000000,21,16,42
9,4000,70,"homogeneous","c55-h60",55,60,"reduced",0.000625616841839842,NA,1057.62194763893,942.64805236108,98.3792529472565,28.3792529472565,0.00430407252866471,2000000,21,16,42
9,4000,70,"homogeneous","c60-h24",60,24,"reduced",0.000625616841839842,NA,691.75501667064,507.844983329379,27.5789660873568,-42.4210339126432,0.0014318875333217,2000000,21,16,42
9,4000,70,"homogeneous","c60-h36",60,36,"reduced",0.000625616841839842,NA,691.75501667064,507.844983329379,41.0798838695387,-28.9201161304613,0.00212776532965435,2000000,21,16,42
9,4000,70,"homogeneous","c60-h48",60,48,"reduced",0.000625616841839842,NA,691.75501667064,507.844983329379,54.3926645045889,-15.6073354954111,0.00281054273439588,2000000,21,16,42
9,4000,70,"homogeneous","c60-h60",60,60,"reduced",0.000625616841839842,NA,691.75501667064,507.844983329379,67.5204116365027,-2.47958836349726,0.00348042355841074,2000000,21,16,42
10,8000,70,"homogeneous","c45-h24",45,24,"higher",0.00030927963450513,NA,3131.39499771763,3731.73300228231,55.9451586770353,-14.0548413229647,0.00222523070446475,2000000,22,16,43
10,8000,70,"homogeneous","c45-h36",45,36,"higher",0.00030927963450513,NA,3131.39499771763,3731.73300228231,83.6907835544637,13.6907835544637,0.0033257002305375,2000000,22,16,43
10,8000,70,"homogeneous","c45-h48",45,48,"higher",0.00030927963450513,NA,3131.39499771763,3731.73300228231,111.286506328634,41.2865063286337,0.0044181437973001,2000000,22,16,43
10,8000,70,"homogeneous","c45-h60",45,60,"higher",0.00030927963450513,NA,3131.39499771763,3731.73300228231,138.733366424507,68.7333664245068,0.00550261438299131,2000000,22,16,43
10,8000,70,"homogeneous","c50-h24",50,24,"higher",0.00030927963450513,NA,2732.00407505307,2871.68392494694,49.7831173663713,-20.2168826336287,0.00212793450752362,2000000,22,16,43
